feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
safety_concern_rate,2.971738552361458,1.282839479203534,0.028357808455857655,0.3395693611859718,5.603907743536944,*
religion_None,1.8723082212362936,0.8500843265082922,0.03635115847119557,0.12807925852498947,3.6165371839475977,*
reintegration_type_Foster Care,-1.4251384160006717,0.5623067307159867,0.017370529650742834,-2.578896525705995,-0.2713803062953484,*
religion_Hinduism,1.340932114887039,0.766622991679756,0.0916276861928009,-0.23204833407689573,2.9139125638509737,(ns)
reintegration_type_None,-1.307386488480072,0.6026042425801315,0.03901089397824848,-2.543828262766474,-0.07094471419367032,*
reintegration_type_Family Reunification,-1.2980929803844787,0.5767552980639247,0.032753631071882755,-2.481497101493722,-0.11468885927523575,*
sub_cat_child_labor_True,-1.257118683291678,0.6746571586131651,0.07332532551344038,-2.6414008294960496,0.12716346291269365,(ns)
reintegration_type_Independent Living,-1.20714873072808,0.5830124665817475,0.048088334897869886,-2.4033915011489517,-0.01090596030720814,*
religion_Christianity,0.9971671776944091,0.6282239053615719,0.12409267362034826,-0.29184180250888647,2.286176157897705,(ns)
referral_source_Court Order,0.9626003895413305,0.6958874158504348,0.17791423136668133,-0.46524264633519763,2.3904434254178586,(ns)
sub_cat_street_child_True,-0.959499416102922,0.5702920698125106,0.10400888771032803,-2.129642088250936,0.21064325604509215,(ns)
sub_cat_child_with_hiv_True,0.8548479182098998,1.313090826021931,0.5205364150908462,-1.8393919095322022,3.5490877459520016,(ns)
religion_Islam,0.8273363683759678,0.5517440654345008,0.14534882904620872,-0.30474894236943606,1.9594216791213717,(ns)
referral_source_Government Agency,0.8013458950566292,0.7838805817350769,0.3157208902450636,-0.8070442038237196,2.409735993936978,(ns)
referral_source_Police,0.7900178019292323,0.6245128857810959,0.216675711867617,-0.4913767950515866,2.0714123989100512,(ns)
family_parent_pwd_True,-0.7802169590363832,0.572306188494969,0.18405339092021256,-1.9544922613608784,0.39405834328811196,(ns)
completion_status_latest_InProgress,-0.7718433806444442,0.6386686887429549,0.23732573699282403,-2.082283286127687,0.5385965248387989,(ns)
progress_rate,-0.7242081718829254,1.205899479628486,0.5531450533830817,-3.1985095239923487,1.7500931802264976,(ns)
sub_cat_cicl_True,0.7187434391069196,0.9808847588840497,0.4700249279302585,-1.2938658423217793,2.7313527205356185,(ns)
family_informal_settler_True,-0.702400671941376,0.5349431799305201,0.20022090797150205,-1.800013413105821,0.39521206922306895,(ns)
sub_cat_at_risk_True,-0.5908384662401399,0.4739511197872764,0.22324285407964328,-1.5633058371396764,0.3816289046593966,(ns)
