feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
country_Philippines,-8809.424985452879,1639.3734844266326,1.1177688088799104e-05,-12173.14152870806,-5445.708442197698,***
relationship_type_Local,8043.92685465553,1518.0036927973906,1.3650403301950588e-05,4929.240553644081,11158.613155666979,***
relationship_type_PartnerOrganization,7894.705565362901,1576.552573482541,2.9841979497859735e-05,4659.886884255897,11129.524246469906,***
monetary_donation_count,4245.347993197815,361.98628047084213,4.186565584429197e-12,3502.6134963805503,4988.08249001508,***
acquisition_channel_Event,-1560.2830281439956,747.5195964675961,0.046432518334126975,-3094.0665478432375,-26.49950844475393,*
status_Inactive,1409.4747272261802,427.95343215194526,0.0027656201013001747,531.386815504344,2287.5626389480167,**
supporter_type_SocialMediaAdvocate,1050.9889194734194,493.11084041591033,0.04231475693814598,39.20904910081492,2062.768789846024,*
acquisition_channel_PartnerReferral,-980.3437598136541,769.1060906673433,0.21329294420948003,-2558.4191070557617,597.7315874284536,(ns)
region_Mindanao,-954.5447138046229,411.368281449625,0.02811621549879384,-1798.6027071950139,-110.48672041423185,*
country_USA,-947.5813000233447,1416.808728143822,0.509292697409109,-3854.632684444458,1959.4700843977685,(ns)
region_Visayas,-915.5516126902985,419.54072121414345,0.0379644459166269,-1776.3780673836254,-54.72515799697146,*
is_recurring_donor_True,-766.1867919952786,578.9797633610251,0.19681990445753939,-1954.1551388839637,421.78155489340656,(ns)
supporter_type_PartnerOrganization,689.6643106991379,698.1807677919478,0.33201975923496146,-742.8842946760159,2122.2129160742916,(ns)
acquisition_channel_WordOfMouth,-649.9075828517514,567.3971241576651,0.26208712756037805,-1814.1103171616014,514.2951514580986,(ns)
supporter_type_MonetaryDonor,630.3390663526634,421.219065042294,0.14613197929998584,-233.93106542440933,1494.6091981297361,(ns)
acquisition_channel_SocialMedia,-586.8675825400105,614.1924275126231,0.34779691759070597,-1847.0863483015157,673.3511832214947,(ns)
supporter_type_SkillsContributor,388.7809978698599,646.5241872036881,0.5526292446757898,-937.7770590772798,1715.3390548169996,(ns)
unique_campaigns,388.7037423594876,256.17442770008716,0.1408035033105962,-136.9227659374236,914.3302506563988,(ns)
supporter_type_Volunteer,-384.3752074081963,602.4732992995876,0.5288509965793528,-1620.54830827565,851.7978934592575,(ns)
donation_types_count,305.20571764136525,233.3379035080662,0.20190092926463418,-173.56411342801704,783.9755487107475,(ns)
acquisition_channel_Website,-62.99158370867417,734.7538290085233,0.9323124146592359,-1570.5819121690993,1444.598744751751,(ns)
days_since_created,4.063079674339422,1.1374290409754004,0.0013562028007497915,1.729268057735191,6.396891290943652,**
avg_monetary_gift,3.784069023446162,0.46900689078601876,1.1420145107341867e-08,2.821746372491873,4.746391674400451,***
