education_record_id,resident_id,record_date,education_level,school_name,enrollment_status,attendance_rate,progress_percent,completion_status,notes
1,1,2023-10-01,Vocational,School 8,Enrolled,0.966,37.7,NotStarted,Progress: NotStarted
2,1,2023-11-01,Secondary,School 20,Enrolled,0.693,33.0,InProgress,Progress: InProgress
3,1,2023-12-01,Vocational,School 18,Enrolled,0.744,54.0,InProgress,Progress: InProgress
4,1,2024-01-01,Primary,School 2,Enrolled,0.681,51.2,InProgress,Progress: InProgress
5,1,2024-02-01,Vocational,School 3,Enrolled,0.721,44.2,InProgress,Progress: InProgress
6,1,2024-03-01,Primary,School 2,Enrolled,0.493,52.8,InProgress,Progress: InProgress
7,2,2023-03-01,Secondary,School 4,Enrolled,0.626,66.8,NotStarted,Progress: NotStarted
8,2,2023-04-01,Secondary,School 12,Enrolled,0.758,73.7,InProgress,Progress: InProgress
9,2,2023-05-01,Primary,School 6,Enrolled,0.923,83.2,InProgress,Progress: InProgress
10,2,2023-06-01,Secondary,School 15,Enrolled,0.872,72.9,InProgress,Progress: InProgress
11,2,2023-07-01,Secondary,School 7,Enrolled,0.82,66.0,InProgress,Progress: InProgress
12,2,2023-08-01,CollegePrep,School 10,Enrolled,0.831,89.7,InProgress,Progress: InProgress
13,2,2023-09-01,Primary,School 14,Enrolled,1.0,100.0,InProgress,Progress: InProgress
14,2,2023-10-01,Vocational,School 8,Enrolled,0.894,100.0,InProgress,Progress: InProgress
15,2,2023-11-01,Secondary,School 10,Enrolled,0.768,100.0,InProgress,Progress: InProgress
16,2,2023-12-01,Secondary,School 11,Enrolled,0.851,100.0,InProgress,Progress: InProgress
17,3,2024-05-01,Primary,School 15,Enrolled,0.706,41.6,NotStarted,Progress: NotStarted
18,3,2024-06-01,Vocational,School 18,Enrolled,0.658,48.6,InProgress,Progress: InProgress
19,3,2024-07-01,Secondary,School 12,Enrolled,0.468,50.5,InProgress,Progress: InProgress
20,3,2024-08-01,Secondary,School 8,Enrolled,0.672,64.5,InProgress,Progress: InProgress
21,3,2024-09-01,Vocational,School 13,Enrolled,0.771,70.3,InProgress,Progress: InProgress
22,3,2024-10-01,Secondary,School 5,Enrolled,0.682,63.4,InProgress,Progress: InProgress
23,3,2024-11-01,Primary,School 6,Enrolled,0.81,77.3,InProgress,Progress: InProgress
24,3,2024-12-01,Secondary,School 5,Enrolled,0.731,71.2,InProgress,Progress: InProgress
25,3,2025-01-01,Vocational,School 19,Enrolled,0.859,100.0,InProgress,Progress: InProgress
26,3,2025-02-01,Secondary,School 9,Enrolled,0.894,100.0,Completed,Progress: Completed
27,3,2025-03-01,Secondary,School 17,Enrolled,0.868,100.0,InProgress,Progress: InProgress
28,4,2024-09-01,Secondary,School 1,Enrolled,0.696,69.8,NotStarted,Progress: NotStarted
29,4,2024-10-01,CollegePrep,School 7,Enrolled,0.528,80.8,InProgress,Progress: InProgress
30,4,2024-11-01,Primary,School 19,Enrolled,0.899,100.0,InProgress,Progress: InProgress
31,4,2024-12-01,Secondary,School 13,Enrolled,0.744,100.0,InProgress,Progress: InProgress
32,4,2025-01-01,Primary,School 9,Enrolled,0.744,100.0,InProgress,Progress: InProgress
33,4,2025-02-01,Primary,School 6,Enrolled,0.881,100.0,InProgress,Progress: InProgress
34,4,2025-03-01,Primary,School 13,Enrolled,0.622,100.0,InProgress,Progress: InProgress
35,4,2025-04-01,Primary,School 10,Enrolled,0.784,100.0,InProgress,Progress: InProgress
36,4,2025-05-01,Secondary,School 9,Enrolled,0.92,95.8,InProgress,Progress: InProgress
37,4,2025-06-01,Secondary,School 2,Enrolled,0.636,99.1,InProgress,Progress: InProgress
38,4,2025-07-01,Secondary,School 11,Enrolled,0.88,100.0,Completed,Progress: Completed
39,5,2024-01-01,Secondary,School 16,Enrolled,0.596,28.4,NotStarted,Progress: NotStarted
40,5,2024-02-01,Vocational,School 12,Enrolled,0.555,49.2,InProgress,Progress: InProgress
41,5,2024-03-01,Vocational,School 18,Enrolled,0.676,63.3,InProgress,Progress: InProgress
42,5,2024-04-01,Secondary,School 18,Enrolled,0.752,69.0,InProgress,Progress: InProgress
43,5,2024-05-01,CollegePrep,School 11,Enrolled,0.561,51.0,InProgress,Progress: InProgress
44,5,2024-06-01,Primary,School 3,Enrolled,0.634,64.4,InProgress,Progress: InProgress
45,5,2024-07-01,Vocational,School 6,Enrolled,0.639,72.1,InProgress,Progress: InProgress
46,5,2024-08-01,Secondary,School 1,Enrolled,0.744,74.3,InProgress,Progress: InProgress
47,5,2024-09-01,Primary,School 9,Enrolled,0.856,80.8,InProgress,Progress: InProgress
48,6,2023-08-01,Primary,School 13,Enrolled,0.648,54.3,NotStarted,Progress: NotStarted
49,6,2023-09-01,Vocational,School 18,Enrolled,0.712,69.1,InProgress,Progress: InProgress
50,6,2023-10-01,Vocational,School 6,Enrolled,0.654,80.0,InProgress,Progress: InProgress
51,6,2023-11-01,Primary,School 5,Enrolled,0.752,92.1,InProgress,Progress: InProgress
52,6,2023-12-01,Secondary,School 19,Enrolled,0.691,100.0,InProgress,Progress: InProgress
53,6,2024-01-01,CollegePrep,School 10,Enrolled,0.791,100.0,InProgress,Progress: InProgress
54,6,2024-02-01,Vocational,School 7,Enrolled,0.68,100.0,InProgress,Progress: InProgress
55,6,2024-03-01,Vocational,School 11,Enrolled,0.882,100.0,InProgress,Progress: InProgress
56,6,2024-04-01,Vocational,School 10,Enrolled,0.747,99.9,InProgress,Progress: InProgress
57,6,2024-05-01,Primary,School 5,Enrolled,0.744,100.0,Completed,Progress: Completed
58,6,2024-06-01,Vocational,School 3,Enrolled,0.764,100.0,InProgress,Progress: InProgress
59,7,2024-06-01,Primary,School 3,Enrolled,0.77,53.9,NotStarted,Progress: NotStarted
60,7,2024-07-01,Secondary,School 15,Enrolled,0.866,48.9,InProgress,Progress: InProgress
61,7,2024-08-01,Secondary,School 11,Enrolled,0.472,41.3,InProgress,Progress: InProgress
62,7,2024-09-01,Primary,School 14,Enrolled,0.754,55.1,InProgress,Progress: InProgress
63,7,2024-10-01,Vocational,School 16,Enrolled,0.612,76.2,InProgress,Progress: InProgress
64,7,2024-11-01,Primary,School 9,Enrolled,0.6,70.3,InProgress,Progress: InProgress
65,7,2024-12-01,Secondary,School 10,Enrolled,0.639,72.7,InProgress,Progress: InProgress
66,7,2025-01-01,Secondary,School 15,Enrolled,0.565,88.0,Completed,Progress: Completed
67,7,2025-02-01,Vocational,School 5,Enrolled,0.881,100.0,Completed,Progress: Completed
68,8,2024-02-01,Secondary,School 16,Enrolled,0.807,47.8,NotStarted,Progress: NotStarted
69,8,2024-03-01,Primary,School 12,Enrolled,0.602,52.9,InProgress,Progress: InProgress
70,8,2024-04-01,CollegePrep,School 20,Enrolled,0.677,59.7,InProgress,Progress: InProgress
71,8,2024-05-01,Secondary,School 11,Enrolled,0.925,70.7,InProgress,Progress: InProgress
72,8,2024-06-01,Primary,School 2,Enrolled,0.707,72.8,InProgress,Progress: InProgress
73,8,2024-07-01,Primary,School 18,Enrolled,0.705,71.3,InProgress,Progress: InProgress
74,9,2025-04-01,Vocational,School 8,Enrolled,0.59,3.2,NotStarted,Progress: NotStarted
75,9,2025-05-01,Vocational,School 6,Enrolled,0.505,4.0,InProgress,Progress: InProgress
76,9,2025-06-01,Secondary,School 19,Enrolled,0.449,0.0,InProgress,Progress: InProgress
77,9,2025-07-01,Primary,School 3,Enrolled,0.398,4.6,InProgress,Progress: InProgress
78,9,2025-08-01,Vocational,School 6,Enrolled,0.574,37.5,InProgress,Progress: InProgress
79,9,2025-09-01,Secondary,School 10,Enrolled,0.555,13.0,InProgress,Progress: InProgress
80,9,2025-10-01,Primary,School 17,Enrolled,0.556,28.1,InProgress,Progress: InProgress
81,9,2025-11-01,Secondary,School 5,Enrolled,0.526,38.4,InProgress,Progress: InProgress
82,9,2025-12-01,Vocational,School 14,Enrolled,0.62,44.4,InProgress,Progress: InProgress
83,10,2023-10-01,Primary,School 7,Enrolled,0.554,44.8,NotStarted,Progress: NotStarted
84,10,2023-11-01,CollegePrep,School 14,Enrolled,0.563,34.8,InProgress,Progress: InProgress
85,10,2023-12-01,Primary,School 19,Enrolled,0.499,33.9,InProgress,Progress: InProgress
86,10,2024-01-01,Secondary,School 15,Enrolled,0.483,41.4,InProgress,Progress: InProgress
87,10,2024-02-01,Vocational,School 19,Enrolled,0.69,45.4,InProgress,Progress: InProgress
88,10,2024-03-01,Vocational,School 18,Enrolled,0.668,55.4,InProgress,Progress: InProgress
89,10,2024-04-01,Secondary,School 13,Enrolled,0.696,74.9,InProgress,Progress: InProgress
90,10,2024-05-01,Primary,School 14,Enrolled,0.617,80.0,InProgress,Progress: InProgress
91,11,2023-04-01,Primary,School 15,Enrolled,0.771,41.4,NotStarted,Progress: NotStarted
92,11,2023-05-01,CollegePrep,School 14,Enrolled,0.551,38.0,InProgress,Progress: InProgress
93,11,2023-06-01,Vocational,School 17,Enrolled,0.789,44.7,InProgress,Progress: InProgress
94,11,2023-07-01,Secondary,School 2,Enrolled,0.755,46.8,InProgress,Progress: InProgress
95,11,2023-08-01,Vocational,School 14,Enrolled,0.658,55.6,InProgress,Progress: InProgress
96,11,2023-09-01,Secondary,School 16,Enrolled,0.923,89.9,InProgress,Progress: InProgress
97,11,2023-10-01,Primary,School 17,Enrolled,0.669,100.0,InProgress,Progress: InProgress
98,11,2023-11-01,Vocational,School 14,Enrolled,0.701,100.0,InProgress,Progress: InProgress
99,11,2023-12-01,Primary,School 9,Enrolled,1.0,100.0,InProgress,Progress: InProgress
100,12,2024-06-01,Vocational,School 16,Enrolled,0.384,11.4,NotStarted,Progress: NotStarted
101,12,2024-07-01,Secondary,School 10,Enrolled,0.393,6.9,InProgress,Progress: InProgress
102,12,2024-08-01,Secondary,School 3,Enrolled,0.734,26.0,InProgress,Progress: InProgress
103,12,2024-09-01,Secondary,School 15,Enrolled,0.505,29.7,InProgress,Progress: InProgress
104,12,2024-10-01,Secondary,School 5,Enrolled,0.713,52.9,InProgress,Progress: InProgress
105,12,2024-11-01,Secondary,School 11,Enrolled,0.439,48.4,InProgress,Progress: InProgress
106,12,2024-12-01,Primary,School 10,Enrolled,0.587,58.0,InProgress,Progress: InProgress
107,12,2025-01-01,Secondary,School 14,Enrolled,0.65,72.0,InProgress,Progress: InProgress
108,12,2025-02-01,Primary,School 2,Enrolled,0.938,91.9,InProgress,Progress: InProgress
109,12,2025-03-01,Secondary,School 17,Enrolled,0.571,100.0,InProgress,Progress: InProgress
110,12,2025-04-01,Primary,School 19,Enrolled,0.781,100.0,InProgress,Progress: InProgress
111,12,2025-05-01,Vocational,School 5,Enrolled,0.681,100.0,InProgress,Progress: InProgress
