platform,day_of_week,post_hour,post_type,media_type,num_hashtags,mentions_count,has_call_to_action,call_to_action_type,content_topic,sentiment_tone,caption_length,features_resident_story,campaign_name,is_boosted,boost_budget_php,impressions,reach,likes,comments,shares,saves,click_throughs,video_views,engagement_rate,profile_visits,donation_referrals,estimated_donation_value_php,follower_count_at_post,watch_time_seconds,avg_view_duration_seconds,subscriber_count_at_post,forwards,post_month,post_is_weekend,confirmed_donation_count,confirmed_monetary_value,led_to_donation
WhatsApp,Thursday,18,FundraisingAppeal,Text,0,3,True,LearnMore,Education,Grateful,157,False,None,False,0.0,15.684099354060937,13.91211573201391,118,36,22,9,48,0.0,0.1105,21,10,21473.25,1522,0.0,0.0,0.0,50.0,1,0,0,0.0,0
Instagram,Friday,11,EducationalContent,Photo,4,0,False,None,Education,Celebratory,150,False,None,False,0.0,21.86926464372295,19.401918023823125,548,110,149,59,85,0.0,0.1745,335,2,4708.45,1833,0.0,0.0,0.0,0.0,1,0,0,0.0,0
LinkedIn,Sunday,10,EventPromotion,Text,0,0,False,None,Reintegration,Urgent,138,False,None,False,0.0,11.97600187136231,10.217438188104953,27,7,12,4,3,0.0,0.1411,8,0,0.0,457,0.0,0.0,0.0,0.0,1,1,0,0.0,0
Instagram,Monday,15,ThankYou,Video,2,1,False,None,Education,Emotional,113,False,None,False,0.0,19.975820446751435,17.684656424162487,190,55,45,16,35,3313.0,0.0677,62,0,0.0,1796,0.0,0.0,0.0,0.0,1,0,0,0.0,0
TikTok,Monday,15,ThankYou,Reel,4,1,True,LearnMore,Education,Hopeful,129,False,None,True,0.0,26.96746178304287,23.55659478380917,728,232,141,79,474,17974.0,0.0802,172,2,8351.49,916,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Instagram,Thursday,13,EventPromotion,Carousel,3,0,False,None,CampaignLaunch,Emotional,132,False,None,False,0.0,21.57413838942024,19.216303701421328,555,180,109,90,60,0.0,0.1504,270,1,3516.65,1833,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Facebook,Tuesday,13,FundraisingAppeal,Video,1,0,True,DonateNow,Health,Celebratory,137,False,None,False,0.0,19.036474800026713,16.317276983652516,176,82,38,19,107,2877.0,0.127,51,6,27029.1,2489,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Twitter,Tuesday,18,FundraisingAppeal,Photo,3,0,True,DonateNow,CampaignLaunch,Urgent,137,False,None,False,0.0,18.60782837911403,15.837953375617515,325,118,82,32,92,0.0,0.1851,120,14,55256.28,1228,0.0,0.0,0.0,0.0,1,0,0,0.0,0
YouTube,Thursday,16,EventPromotion,Video,4,0,True,SignUp,Education,Urgent,139,False,None,False,0.0,25.172249179943798,22.52091972283065,1075,585,298,158,422,13218.0,0.2064,723,2,6056.45,620,436194.0,33.0,204.0,0.0,1,0,0,0.0,0
YouTube,Thursday,18,EducationalContent,Video,0,0,False,None,Gratitude,Informative,166,False,None,False,0.0,24.990665405736642,21.103842936622666,388,137,92,53,114,5162.0,0.0863,125,1,4623.84,572,320044.0,62.0,204.0,0.0,1,0,0,0.0,0
WhatsApp,Thursday,19,Campaign,Text,0,0,True,DonateNow,SafehouseLife,Grateful,139,False,None,False,0.0,16.628175115779143,14.554500371604917,119,23,28,12,65,0.0,0.1183,39,7,40736.87,1543,0.0,0.0,0.0,63.0,1,0,0,0.0,0
Twitter,Friday,9,ImpactStory,Reel,0,1,False,None,AwarenessRaising,Grateful,209,True,None,False,0.0,19.972556576916773,17.2034969139676,123,36,84,16,33,3231.0,0.0825,57,12,39786.25,1228,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Instagram,Tuesday,13,Campaign,Photo,4,0,True,SignUp,AwarenessRaising,Grateful,146,False,None,True,0.0,26.96746178304287,23.55659478380917,1513,808,357,231,1018,0.0,0.1359,1099,32,27427.85,1782,0.0,0.0,0.0,0.0,1,0,0,0.0,0
WhatsApp,Wednesday,4,FundraisingAppeal,Video,0,0,True,SignUp,Education,Emotional,157,False,None,False,0.0,12.329984991666016,10.49856288601585,15,5,2,1,19,529.0,0.043,3,0,0.0,1543,0.0,0.0,0.0,5.0,1,0,0,0.0,0
Twitter,Friday,22,Campaign,Video,2,0,True,SignUp,Education,Celebratory,158,False,None,False,0.0,17.97635394099145,16.27992364115896,266,63,22,19,95,2604.0,0.1018,79,2,3650.81,1228,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Instagram,Saturday,2,EducationalContent,Carousel,1,0,False,None,DonorImpact,Informative,171,False,None,False,0.0,14.284063830596539,12.73219690147645,8,2,1,1,8,0.0,0.0173,3,0,0.0,1782,0.0,0.0,0.0,0.0,1,1,0,0.0,0
Twitter,Tuesday,1,ImpactStory,Video,2,1,False,None,Gratitude,Grateful,209,True,None,False,0.0,17.480248094322704,15.259243661898532,32,7,16,2,22,3098.0,0.0224,8,1,4431.22,1228,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Instagram,Tuesday,18,Campaign,Reel,1,0,True,ShareStory,Education,Hopeful,156,False,None,False,0.0,17.695582453104194,14.909456486667235,137,15,19,12,57,1507.0,0.1004,24,1,2107.99,1782,0.0,0.0,0.0,0.0,1,0,0,0.0,0
Twitter,Wednesday,6,FundraisingAppeal,Carousel,2,1,True,DonateNow,Health,Hopeful,136,False,None,False,0.0,18.95233404817748,16.072957867302645,111,28,19,15,84,0.0,0.0642,28,2,2677.48,1228,0.0,0.0,0.0,0.0,2,0,0,0.0,0
LinkedIn,Tuesday,9,EducationalContent,Text,2,0,True,DonateNow,AwarenessRaising,Grateful,159,False,None,False,0.0,17.590709757079683,15.060973335085508,121,23,27,11,68,0.0,0.1185,38,0,0.0,463,0.0,0.0,0.0,0.0,2,0,0,0.0,0
TikTok,Wednesday,19,Campaign,Reel,3,0,True,DonateNow,DonorImpact,Emotional,140,False,None,False,0.0,18.99909324283113,16.978391710481855,472,185,127,47,95,3338.0,0.2343,260,9,28551.49,916,0.0,0.0,0.0,0.0,2,0,0,0.0,0
Facebook,Thursday,0,EducationalContent,Photo,2,2,True,SignUp,Reintegration,Grateful,120,False,None,False,0.0,15.46218129709542,13.931149330380128,29,10,5,2,52,0.0,0.0298,11,0,0.0,1370,0.0,0.0,0.0,0.0,2,0,0,0.0,0
WhatsApp,Thursday,4,FundraisingAppeal,Text,0,1,True,LearnMore,AwarenessRaising,Informative,143,False,None,False,0.0,11.067227707762544,9.614535562774613,5,1,1,0,10,0.0,0.0244,1,0,0.0,1543,0.0,0.0,0.0,2.0,2,0,0,0.0,0
YouTube,Tuesday,16,ImpactStory,Video,3,0,False,None,Reintegration,Celebratory,125,True,None,False,0.0,26.96746178304287,23.55659478380917,2202,613,1206,209,387,17492.0,0.1451,947,197,801434.24,620,297364.0,17.0,211.0,0.0,2,0,0,0.0,0
WhatsApp,Tuesday,21,Campaign,Photo,0,1,True,LearnMore,Education,Informative,136,False,None,True,0.0,23.490215569893525,20.327870984406346,448,70,64,45,277,0.0,0.0891,141,14,82822.12,1517,0.0,0.0,0.0,121.0,2,0,0,0.0,0
Instagram,Saturday,14,ImpactStory,Video,3,2,False,None,Education,Celebratory,153,True,None,False,0.0,18.84565283497274,16.7915628371622,405,106,131,24,40,2830.0,0.1535,153,16,20949.08,1782,0.0,0.0,0.0,0.0,2,1,0,0.0,0
LinkedIn,Monday,15,EventPromotion,Photo,3,1,False,None,EventRecap,Grateful,118,False,None,False,0.0,14.698147770264189,12.509896288793092,22,8,3,2,11,0.0,0.0425,11,0,0.0,496,0.0,0.0,0.0,0.0,2,0,0,0.0,0
LinkedIn,Tuesday,0,Campaign,Text,3,0,True,ShareStory,Gratitude,Informative,170,False,None,False,0.0,11.246204227752907,10.175339351143753,5,1,0,0,14,0.0,0.0179,1,0,0.0,463,0.0,0.0,0.0,0.0,2,0,0,0.0,0
Twitter,Tuesday,8,EducationalContent,Reel,2,0,False,None,Reintegration,Grateful,147,False,None,True,0.0,26.96746178304287,23.55659478380917,1619,489,302,187,340,25628.0,0.1059,932,4,7591.0,1228,0.0,0.0,0.0,0.0,2,0,0,0.0,0
WhatsApp,Tuesday,16,ImpactStory,Photo,0,1,True,SignUp,Health,Emotional,130,True,None,False,0.0,13.976693777290533,12.681003340186376,77,10,33,5,39,0.0,0.1113,32,17,34810.04,1543,0.0,0.0,0.0,90.0,2,0,0,0.0,0
Facebook,Thursday,10,EventPromotion,Carousel,2,0,True,ShareStory,Reintegration,Celebratory,136,False,None,False,0.0,19.645621210802176,17.178640990170823,447,119,119,79,137,0.0,0.25,144,1,4502.18,2423,0.0,0.0,0.0,0.0,2,0,0,0.0,0
Instagram,Monday,11,ImpactStory,Carousel,2,0,False,None,DonorImpact,Emotional,137,True,None,False,0.0,23.478547940150417,20.20393342889296,603,95,264,96,55,0.0,0.13,281,48,210848.57,1833,0.0,0.0,0.0,0.0,2,0,0,0.0,0
Twitter,Monday,12,ThankYou,Text,3,0,True,SignUp,Education,Grateful,93,False,None,False,0.0,15.299335129575981,13.713571343071091,46,6,8,4,59,0.0,0.0561,19,0,0.0,1041,0.0,0.0,0.0,0.0,2,0,0,0.0,0
Instagram,Monday,20,EducationalContent,Carousel,1,0,False,None,CampaignLaunch,Urgent,108,False,None,False,0.0,19.442663212850757,16.61127335910686,207,83,79,35,30,0.0,0.1407,116,1,632.03,1267,0.0,0.0,0.0,0.0,2,0,0,0.0,0
WhatsApp,Tuesday,4,Campaign,Text,0,0,True,DonateNow,Health,Celebratory,159,False,None,False,0.0,9.482161671209052,8.40065879960208,3,0,0,0,7,0.0,0.0379,1,0,0.0,1543,0.0,0.0,0.0,0.0,2,0,0,0.0,0
Twitter,Tuesday,22,EventPromotion,Text,3,1,True,ShareStory,DonorImpact,Informative,119,False,None,True,0.0,19.71776104440535,17.002663353571073,47,11,15,7,132,0.0,0.0339,15,0,0.0,1228,0.0,0.0,0.0,0.0,2,0,0,0.0,0
Instagram,Wednesday,16,Campaign,Video,1,0,True,DonateNow,Reintegration,Informative,143,False,None,False,0.0,17.57892600648778,15.410923946110122,37,13,7,7,83,2429.0,0.0431,15,0,0.0,1782,0.0,0.0,0.0,0.0,3,0,0,0.0,0
Twitter,Friday,2,EducationalContent,Carousel,2,0,False,None,SafehouseLife,Emotional,169,False,None,True,0.0,18.84565283497274,16.499772898577476,43,23,13,9,23,0.0,0.0322,12,0,0.0,1228,0.0,0.0,0.0,0.0,3,0,0,0.0,0
Instagram,Sunday,16,Campaign,Carousel,2,0,True,SignUp,DonorImpact,Hopeful,142,False,None,False,0.0,15.733125588558009,13.57463768501874,50,23,11,11,32,0.0,0.0884,31,0,0.0,1833,0.0,0.0,0.0,0.0,3,1,0,0.0,0
Instagram,Tuesday,0,ImpactStory,Video,2,0,False,None,Education,Grateful,152,True,None,False,0.0,20.735300587204197,17.733675502903477,58,11,25,5,41,5370.0,0.0219,21,3,4636.05,1816,0.0,0.0,0.0,0.0,3,0,1,695.6,1
Instagram,Thursday,13,FundraisingAppeal,Photo,2,2,True,SignUp,SafehouseLife,Grateful,156,False,None,False,0.0,21.83035109394868,19.54201350689953,521,135,94,53,243,0.0,0.14,280,9,22433.25,1816,0.0,0.0,0.0,0.0,3,0,0,0.0,0
