feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
country_USA,-972.8962388528904,675.7890099856846,0.15516512542666946,-2324.6755236684285,378.88304596264777,(ns)
country_Other,-938.4359742996412,994.9959220351645,0.34938367002624987,-2928.724150059652,1051.8522014603693,(ns)
monetary_donation_count,543.7019114611095,80.96820585218589,7.6462085580675e-09,381.74138564257976,705.6624372796392,***
supporter_type_PartnerOrganization,540.4954963475811,1010.0726176500456,0.5945546051539318,-1479.9505608140478,2560.9415535092103,(ns)
relationship_type_PartnerOrganization,-498.69677636425104,623.6907907298474,0.4271027936095602,-1746.2641066715169,748.8705539430148,(ns)
relationship_type_Local,-445.98112682483884,490.55629846644035,0.366917231007372,-1427.239822222637,535.2775685729592,(ns)
region_Kuala Lumpur,-353.1762030104122,490.04897136688055,0.4738954020311724,-1333.420093115912,627.0676870950876,(ns)
region_Selangor,-336.2346180353934,397.8257716838946,0.4013678178953938,-1132.0046426758302,459.53540660504336,(ns)
avg_monetary_gift,307.63291035055533,22.72010418136076,6.740319225209852e-20,262.1859354406423,353.07988526046836,***
supporter_type_SocialMediaAdvocate,293.96503678118705,526.6479306855524,0.5787975885396086,-759.4876719374406,1347.4177454998148,(ns)
region_Sarawak,-293.3246775325439,455.90866771577635,0.5224260222174107,-1205.2777926018343,618.6284375367467,(ns)
region_Penang,-288.80945120569856,411.4844571256891,0.4854727363345358,-1111.900914586935,534.2820121755377,(ns)
acquisition_channel_PartnerReferral,-270.15026107312747,449.4575263853764,0.5500651012722887,-1169.199172189713,628.8986500434579,(ns)
status_Inactive,231.37258348826526,317.46851116795017,0.468956315910524,-403.6589879590954,866.4041549356259,(ns)
acquisition_channel_WordOfMouth,162.06685170605215,394.64435039114306,0.6827806927017712,-627.339382851584,951.4730862636883,(ns)
supporter_type_SkillsContributor,157.0946189924365,536.7570783081017,0.7707814262242307,-916.579395697997,1230.7686336828701,(ns)
region_Sabah,121.7055121656714,444.3937577076289,0.7851262035681671,-767.2143534936316,1010.6253778249744,(ns)
supporter_type_Volunteer,112.21096702325076,578.3911333868593,0.8468270425830662,-1044.7435573628436,1269.1654914093451,(ns)
is_recurring_donor_True,-106.82225886802996,298.1078176712382,0.7213508497102233,-703.126677281232,489.48215954517207,(ns)
acquisition_channel_SocialMedia,106.2705979156176,426.0727684223373,0.8038886820521195,-746.0018327791701,958.5430286104053,(ns)
acquisition_channel_Website,84.13442787565464,444.46354085296497,0.8505010316153806,-804.9250248572774,973.1938806085867,(ns)
acquisition_channel_Event,-80.5476741456273,486.972464760323,0.8691812827407625,-1054.6376347866176,893.542286495363,(ns)
unique_campaigns,-32.481728221545836,152.840289488118,0.8324211819339701,-338.2078264006573,273.24436995756565,(ns)
supporter_type_MonetaryDonor,5.548918854425295,446.3873151730347,0.990123211753083,-887.3586554609892,898.4564931698399,(ns)
days_since_last_donation,0.7322014994502709,0.5146044661922133,0.1599603221526892,-0.2971606934728245,1.7615636923733664,(ns)
