feature,coefficient,std_err,p_value,ci_lower,ci_upper,significant
sentiment_tone_Informative,-0.0652382108627446,0.004652792032104364,4.1657117494757777e-39,-0.07437493046897202,-0.05610149125651718,***
sentiment_tone_Grateful,-0.043674555320429055,0.005030896099125358,3.291184146784186e-17,-0.0535537604747979,-0.03379535016606021,***
has_call_to_action_True,0.03742550468653023,0.002467601744374734,1.4432590533268372e-44,0.032579858226808145,0.04227115114625231,***
sentiment_tone_Hopeful,-0.024891356272862934,0.004878401295569461,4.4363925140511596e-07,-0.03447110633620619,-0.015311606209519681,***
call_to_action_type_None,0.015636003078711727,0.0025811177559813625,2.363583554689778e-09,0.010567444448896813,0.020704561708526643,***
platform_Instagram,0.015536986457892078,0.0042548233289964295,0.00028206831425251074,0.007181760721853092,0.02389221219393106,***
sentiment_tone_Urgent,-0.013992909136173393,0.005244463448895932,0.007822177663933502,-0.02429149795919426,-0.0036943203131525257,**
platform_LinkedIn,0.012625745068015042,0.005705012568665418,0.02724579277492169,0.0014227727816470068,0.023828717354383078,*
platform_Twitter,0.01113594448293357,0.0050561762301035255,0.027992578778147918,0.001207096562079039,0.0210647924037881,*
is_boosted_True,-0.01049305747083191,0.004574532679068077,0.02212773603295173,-0.019476098649069525,-0.0015100162925942972,*
post_hour,0.0035540614392220744,0.0002626439647960297,7.688311213580089e-37,0.0030383056852465733,0.004069817193197575,***
post_month,-0.0017110037858667684,0.0004621350665728246,0.00023214653973534146,-0.0026185015838225984,-0.0008035059879109383,***
forwards,5.882515732108909e-05,1.8988436955953335e-05,0.0020346843464027977,2.153743351354009e-05,9.61128811286381e-05,**
video_views,1.406313690916658e-06,3.1854698729386604e-07,1.1882545276953016e-05,7.807807884722316e-07,2.0318465933610847e-06,***
